Title,Average Rating,Director,Writer,Metascore,Release Date,Country of Origin,Languages,Worldwide Gross,Runtime
Spider-Man: Into the Spider-Verse,8.4,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Phil Lord, Rodney Rothman",87.0,2018,"Canada, United States","English, Spanish",393602435.0,1 hour 57 minutes
Das Leben der Anderen,8.4,Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck,89.0,2006,"Germany, France",German,77672685.0,2 hours 17 minutes
WALL·E,8.4,Andrew Stanton,"Andrew Stanton, Pete Docter, Jim Reardon",95.0,2008,"United States, Japan",English,527403656.0,1 hour 38 minutes
Amadeus,8.4,Milos Forman,"Peter Shaffer, Zdenek Mahler",87.0,1984,"United States, France","English, Italian, Latin, German, French",52075942.0,2 hours 40 minutes
Kimi No Na Wa.,8.4,Makoto Shinkai,Makoto Shinkai,81.0,2016,Japan,Japanese,405340703.0,1 hour 46 minutes
Sunset Blvd.,8.4,Billy Wilder,"Charles Brackett, Billy Wilder, D.M. Marshman Jr.",94.0,1950,United States,English,308663.0,1 hour 50 minutes
Capharnaüm,8.4,Nadine Labaki,"Nadine Labaki, Jihad Hojeily, Michelle Keserwany",75.0,2019,"Lebanon, United States, France, Cyprus, Qatar, United Kingdom","Arabic, Amharic",64417003.0,2 hours 6 minutes
Das Boot,8.4,Wolfgang Petersen,"Wolfgang Petersen, Lothar G. Buchheim",85.0,1981,West Germany,German,11488778.0,2 hours 29 minutes
Laapataa Ladies,8.4,Kiran Rao,"Biplab Goswami, Sneha Desai, Divy Nidhi Sharma",83.0,2024,India,Hindi,108886.0,2 hours 2 minutes
3 Idiots,8.4,Rajkumar Hirani,"Abhijat Joshi, Rajkumar Hirani, Vidhu Vinod Chopra",67.0,2009,India,"Hindi, English",60262836.0,2 hours 50 minutes
Paths of Glory,8.4,Stanley Kubrick,"Stanley Kubrick, Calder Willingham, Jim Thompson",90.0,1957,United States,"English, German, Latin",8290.0,1 hour 28 minutes
Witness for the Prosecution,8.4,Billy Wilder,"Agatha Christie, Billy Wilder, Harry Kurnitz",76.0,1958,United States,"English, German",7903.0,1 hour 56 minutes
The Great Dictator,8.4,Charles Chaplin,Charles Chaplin,83.0,1941,United States,"English, Esperanto, Latin",972212.0,2 hours 5 minutes
Tengoku to Jigoku,8.4,Akira Kurosawa,"Hideo Oguni, Ryûzô Kikushima, Eijirô Hisaita",90.0,1963,Japan,Japanese,53170.0,2 hours 23 minutes
Samsara,8.4,Ron Fricke,"Ron Fricke, Mark Magidson",65.0,2012,"United States, Indonesia, Singapore, Thailand, Kenya, Denmark, Brazil, Jordan, United Arab Emirates, Saudi Arabia, South Africa, Italy, Ghana, Egypt, China, Japan, South Korea",English,4426444.0,1 hour 42 minutes
The Salt of the Earth,8.4,"Juliano Ribeiro Salgado, Wim Wenders","Wim Wenders, Juliano Ribeiro Salgado, David Rosier",83.0,2014,"France, Italy, Brazil","French, English, Portuguese",5412466.0,1 hour 50 minutes
The Cove,8.4,Louie Psihoyos,Mark Monroe,84.0,2009,"United States, Japan, Germany, Chile, Canada, United Kingdom","English, Japanese",1187434.0,1 hour 32 minutes
Kaithi,8.4,Lokesh Kanagaraj,"Lokesh Kanagaraj, Pon Parthiban, Sanjeev Tiwari",83.0,2019,India,Tamil,522938.0,2 hours 25 minutes
Flåklypa Grand Prix,8.4,Ivo Caprino,"Kjell Aukrust, Remo Caprino, Kjell Syversen",83.0,1975,Norway,Norwegian,66424.5,1 hour 28 minutes
Vada Chennai,8.4,Vetrimaaran,"Gautam Siddharth, Vetrimaaran",83.0,2018,India,Tamil,472865.0,2 hours 44 minutes
Sansho the Bailiff,8.4,Kenji Mizoguchi,"Ogai Mori, Fuji Yahiro, Yoshikata Yoda",96.0,1954,Japan,Japanese,5267.0,2 hours 4 minutes
Asuran,8.4,Vetrimaaran,"M.S. Manimaran, Vetrimaaran, Suka",83.0,2019,India,Tamil,379728.0,2 hours 21 minutes
Drishyam 2,8.4,Jeethu Joseph,Jeethu Joseph,83.0,2021,India,Malayalam,3841.0,2 hours 32 minutes
Lizard,8.4,Kamal Tabrizi,Peyman Ghassemkhani,83.0,2004,Iran,Persian,10123315.0,1 hour 55 minutes
Attack on Titan: Chronicle,8.4,"Masashi Koizuka, Tetsurô Araki","Hajime Isayama, Shika Ogura, Yasuko Kobayashi",83.0,2020,Japan,Japanese,42908.0,2 hours 2 minutes
Kad porastem bicu Kengur,8.4,Radivoje Andric,Miroslav Momcilovic,83.0,2004,Serbia,Serbian,13793.0,1 hour 32 minutes
Filantropica,8.4,Nae Caranfil,Nae Caranfil,83.0,2002,"Romania, France",Romanian,20795.0,1 hour 50 minutes
Black Friday,8.4,Anurag Kashyap,"Anurag Kashyap, Hussain Zaidi, Piyush Mishra",76.0,2007,India,"Hindi, English",1610897.0,2 hours 23 minutes
Thani Oruvan,8.4,Mohan Raja,"Mohan Raja, D. Suresh, A.N. Balakrishnan",83.0,2015,India,Tamil,5707166.5,2 hours 40 minutes
Apur Sansar,8.4,Satyajit Ray,"Bibhutibhushan Bandyopadhyay, Satyajit Ray",83.0,1959,India,Bengali,134241.0,1 hour 45 minutes
Sigur Rós: Heima,8.4,Dean DeBlois,"Amiina, Hildur Arsaelsdottir, Jon Thor Birgisson",83.0,2007,Iceland,"English, Icelandic",36229.0,1 hour 37 minutes
Mahanati,8.4,Nag Ashwin,"Nag Ashwin, Sai Madhav Burra, Padmavathi Visweswar",83.0,2018,India,"Telugu, Tamil",279078.0,2 hours 57 minutes
Profesionalac,8.4,Dusan Kovacevic,Dusan Kovacevic,83.0,2003,Serbia and Montenegro,Serbian,8842229.0,1 hour 44 minutes
Visaaranai,8.4,Vetrimaaran,"Chandrakumar, Vetrimaaran",83.0,2016,India,Tamil,1943.0,1 hour 57 minutes
Taylor Swift: Folklore - The Long Pond Studio Sessions,8.4,Taylor Swift,"Taylor Swift, Aaron Dessner, Jack Antonoff",83.0,2020,United States,English,25211175.0,1 hour 45 minutes
Muhsin Bey,8.4,Yavuz Turgul,Yavuz Turgul,83.0,1987,Turkey,Turkish,6804312.0,1 hour 59 minutes
Pawankhind,8.4,Digpal Lanjekar,Digpal Lanjekar,83.0,2022,India,Marathi,4260686.0,2 hours 33 minutes
Mudhalvan,8.4,S. Shankar,"S. Shankar, Sujatha",83.0,1999,India,Tamil,6000000.0,2 hours 49 minutes
Operatsiya 'Y' i drugie priklyucheniya Shurika,8.4,Leonid Gaidai,"Leonid Gaidai, Yakov Kostyukovskiy, Moris Slobodskoy",83.0,1965,Soviet Union,Russian,19314000.0,1 hour 35 minutes
Virumandi,8.4,Kamal Haasan,"H. Banerjee, Kamal Haasan",83.0,2021,India,Tamil,5723400.0,2 hours 55 minutes
Gülen Gözler,8.4,Ertem Egilmez,Sadik Sendil,83.0,1977,Turkey,Turkish,218872.0,1 hour 37 minutes
The Last Crusade,8.4,Sergiu Nicolaescu,Titus Popovici,83.0,1973,"Romania, France, Italy","Romanian, Italian, Turkish",54510.0,3 hours 23 minutes
Papanasam,8.4,Jeethu Joseph,"Jayamohan, Jeethu Joseph, Suka",83.0,2015,India,Tamil,586973.0,2 hours 59 minutes
Pudhu Pettai,8.4,K. Selvaraghavan,"Balakumaran, K. Selvaraghavan",83.0,2006,India,Tamil,4652.0,2 hours 48 minutes
Mandela,8.4,Madonne Ashwin,Madonne Ashwin,83.0,2021,India,Tamil,7527030.0,2 hours 20 minutes
Kapicilar Krali,8.4,Zeki Ökten,Umur Bugay,83.0,1977,Turkey,Turkish,218872.0,1 hour 24 minutes
Ulidavaru Kandanthe,8.4,Rakshit Shetty,Rakshit Shetty,83.0,2014,India,Kannada,10769798.0,2 hours 34 minutes
Iruvar,8.4,Mani Ratnam,"Mani Ratnam, Suhasini",83.0,1997,India,Tamil,2599230.0,2 hours 20 minutes
Kannathil Muthamittal,8.4,Mani Ratnam,"Sujatha Rangarajan, Mani Ratnam, Sujatha",83.0,2002,India,Tamil,8628005.0,2 hours 16 minutes
Bizim Aile,8.4,Ergin Orbey,Sadik Sendil,83.0,1975,Turkey,Turkish,66424.5,1 hour 32 minutes
The Wild Robot,8.3,Chris Sanders,"Chris Sanders, Peter Brown",85.0,2024,"United States, Japan",English,318387315.0,1 hour 42 minutes
Oppenheimer,8.3,Christopher Nolan,"Christopher Nolan, Kai Bird, Martin Sherwin",90.0,2023,"United States, United Kingdom","English, German, Italian",975594978.0,3 hours
Good Will Hunting,8.3,Gus Van Sant,"Matt Damon, Ben Affleck",71.0,1998,United States,English,225933435.0,2 hours 6 minutes
Eternal Sunshine of the Spotless Mind,8.3,Michel Gondry,"Charlie Kaufman, Michel Gondry, Pierre Bismuth",89.0,2019,United States,English,73395181.0,1 hour 48 minutes
Requiem for a Dream,8.3,Darren Aronofsky,"Hubert Selby Jr., Darren Aronofsky",71.0,2017,United States,English,7390108.0,1 hour 42 minutes
American Beauty,8.3,Sam Mendes,Alan Ball,84.0,2020,United States,English,356296601.0,2 hours 2 minutes
Heat,8.3,Michael Mann,Michael Mann,76.0,1995,United States,"English, Spanish",187436818.0,2 hours 50 minutes
The Remarkable Life of Ibelin,8.3,Benjamin Ree,"Jessica Carroll, Zoe Croft, Kelsey Ellison",78.0,2024,Norway,"Norwegian, English, Danish",1303564.0,1 hour 46 minutes
Oldeuboi,8.3,Park Chan-wook,"Garon Tsuchiya, Nobuaki Minegishi, Park Chan-wook",78.0,2017,South Korea,Korean,17592355.0,1 hour 41 minutes
Braveheart,8.3,Mel Gibson,Randall Wallace,68.0,1995,United States,"English, French, Latin, Gaelic, Italian",213216216.0,2 hours 58 minutes
Scarface,8.3,Brian De Palma,"Oliver Stone, Howard Hawks, Ben Hecht",65.0,1990,United States,"English, Spanish",66443303.0,2 hours 50 minutes
Jagten,8.3,Thomas Vinterberg,"Thomas Vinterberg, Tobias Lindholm",77.0,2012,"Denmark, Sweden, Belgium, France","Danish, English, Polish",15886373.0,1 hour 55 minutes
2001: A Space Odyssey,8.3,Stanley Kubrick,"Stanley Kubrick, Arthur C. Clarke",84.0,2017,"United Kingdom, United States","English, Russian, French",66764997.0,2 hours 29 minutes
Once Upon a Time in America,8.3,Sergio Leone,"Harry Grey, Leonardo Benvenuti, Piero De Bernardi",75.0,1984,"Italy, United States","English, Italian, French, Yiddish, Hebrew",5475540.0,3 hours 49 minutes
Reservoir Dogs,8.3,Quentin Tarantino,"Quentin Tarantino, Roger Avary",81.0,1992,United States,English,2931191.0,1 hour 39 minutes
Toy Story,8.3,John Lasseter,"John Lasseter, Pete Docter, Andrew Stanton",96.0,1995,United States,English,394436586.0,1 hour 21 minutes
Incendies,8.3,Denis Villeneuve,"Wajdi Mouawad, Denis Villeneuve, Valérie Beaugrand-Champagne",80.0,2020,"Canada, France","French, Arabic, English",6797861.0,2 hours 11 minutes
Hamilton,8.3,Thomas Kail,"Lin-Manuel Miranda, Ron Chernow",88.0,2020,United States,"English, French",25211175.0,2 hours 40 minutes
Idi I Smotri,8.3,Elem Klimov,"Ales Adamovich, Elem Klimov",88.0,1985,Soviet Union,"Belarusian, Russian, German",20929648.0,2 hours 22 minutes
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3,Stanley Kubrick,"Stanley Kubrick, Terry Southern, Peter George",97.0,1964,"United Kingdom, United States","English, Russian",9631984.0,1 hour 35 minutes
Le fabuleux destin d'Amélie Poulain,8.3,Jean-Pierre Jeunet,"Guillaume Laurant, Jean-Pierre Jeunet",70.0,2001,"France, Germany","French, Russian, English",175183052.0,2 hours 2 minutes
Lawrence of Arabia,8.3,David Lean,"Robert Bolt, Michael Wilson",100.0,2016,"United Kingdom, United States","English, Arabic, Turkish",45763719.0,3 hours 47 minutes
Up,8.3,"Pete Docter, Bob Peterson","Pete Docter, Bob Peterson, Tom McCarthy",88.0,2009,United States,English,735102136.0,1 hour 36 minutes
Star Wars: Episode VI - Return of the Jedi,8.3,Richard Marquand,"Lawrence Kasdan, George Lucas",58.0,1983,United States,"English, Kikuyu, Tagalog, Kalmyk-Oirat, Quechua, Polish",482466382.0,2 hours 11 minutes
Mononoke-hime,8.3,Hayao Miyazaki,Hayao Miyazaki,76.0,2020,Japan,Japanese,170338626.0,2 hours 13 minutes
Double Indemnity,8.3,Billy Wilder,"Billy Wilder, Raymond Chandler, James M. Cain",95.0,1944,United States,English,19543.0,1 hour 47 minutes
North by Northwest,8.3,Alfred Hitchcock,"Ernest Lehman, Gerald Devriès",98.0,1959,United States,"English, French",192323.0,2 hours 16 minutes
Toy Story 3,8.3,Lee Unkrich,"John Lasseter, Andrew Stanton, Lee Unkrich",92.0,2010,United States,"English, Spanish",1067316101.0,1 hour 43 minutes
Metropolis,8.3,Fritz Lang,"Thea von Harbou, Fritz Lang",98.0,1927,Germany,"German, English",1350322.0,2 hours 33 minutes
Citizen Kane,8.3,Orson Welles,"Herman J. Mankiewicz, Orson Welles, John Houseman",100.0,2020,United States,"English, Italian",1707754.0,1 hour 59 minutes
Vertigo,8.3,Alfred Hitchcock,"Alec Coppel, Samuel A. Taylor, Pierre Boileau",100.0,2014,United States,English,7808900.0,2 hours 8 minutes
To Kill a Mockingbird,8.3,Robert Mulligan,"Harper Lee, Horton Foote",88.0,1963,United States,English,599934.0,2 hours 9 minutes
The Apartment,8.3,Billy Wilder,"Billy Wilder, I.A.L. Diamond",94.0,1960,United States,English,18778738.0,2 hours 5 minutes
Singin' in the Rain,8.3,"Stanley Donen, Gene Kelly","Betty Comden, Adolph Green",99.0,1952,United States,English,2093275.0,1 hour 43 minutes
The Sting,8.3,George Roy Hill,David S. Ward,83.0,1973,United States,English,156000000.0,2 hours 9 minutes
Jodaeiye Nader Az Simin,8.3,Asghar Farhadi,Asghar Farhadi,95.0,2012,"Iran, France, Australia",Persian,22926076.0,2 hours 3 minutes
Dangal,8.3,Nitesh Tiwari,"Piyush Gupta, Shreyas Jain, Nikhil Mehrotra",88.0,2016,"India, United States","Hindi, English",303726782.0,2 hours 41 minutes
M - Eine Stadt sucht einen Mörder,8.3,Fritz Lang,"Thea von Harbou, Fritz Lang, Egon Jacobsohn",88.0,1931,Germany,German,35566.0,1 hour 57 minutes
Ikiru,8.3,Akira Kurosawa,"Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni",92.0,1952,Japan,"Japanese, Latin, English, French",111762.0,2 hours 23 minutes
Judgment at Nuremberg,8.3,Stanley Kramer,"Abby Mann, Montgomery Clift, Charles Dorat",60.0,1961,United States,"English, German",12180.0,2 hours 59 minutes
Taare Zameen Par,8.3,"Aamir Khan, Amole Gupte",Amole Gupte,88.0,2007,India,"Hindi, English",21897373.0,2 hours 42 minutes
Voyna i mir,8.3,Sergey Bondarchuk,"Sergey Bondarchuk, Vasiliy Solovyov, Lev Tolstoy",88.0,1966,Soviet Union,"Russian, German, French",149485.0,6 hours 33 minutes
Ladri Di Biciclette,8.3,Vittorio De Sica,"Cesare Zavattini, Luigi Bartolini, Oreste Biancoli",88.0,1948,Italy,"Italian, German",451336.0,1 hour 29 minutes
Shershaah,8.3,Vishnuvardhan,Sandeep Shrivastava,88.0,2021,India,Hindi,7527030.0,2 hours 15 minutes
Vikram,8.3,Lokesh Kanagaraj,"Lokesh Kanagaraj, Rathna Kumar",88.0,2022,India,Tamil,29837637.0,2 hours 55 minutes
Sardar Udham,8.3,Shoojit Sircar,"Shubhendu Bhattacharya, Ritesh Shah",88.0,2021,India,Hindi,7527030.0,2 hours 44 minutes
Man with a Movie Camera,8.3,Dziga Vertov,Dziga Vertov,96.0,1929,Soviet Union,Russian,3959.0,1 hour 8 minutes
Chhichhore,8.3,Nitesh Tiwari,"Piyush Gupta, Nikhil Mehrotra, Nitesh Tiwari",88.0,2019,India,Hindi,3311391.0,2 hours 23 minutes
Violet Evergarden: The Movie,8.3,Taichi Ishidate,"Kana Akatsuki, Reiko Yoshida",88.0,2021,"Japan, South Korea, Czech Republic, Germany",Japanese,20302668.0,2 hours 20 minutes
The Rescue,8.3,"Jimmy Chin, Elizabeth Chai Vasarhelyi","Bancha Duriyapunt, Apakorn Youkongkaew, Anan Surawan",84.0,2021,"United Kingdom, United States","Thai, English",1060556.0,1 hour 47 minutes
Ratsasan,8.3,Ram Kumar,"Ram Kumar, Sorif B. Mahmud",88.0,2018,India,Tamil,11382356.5,2 hours 26 minutes
Dil Bechara,8.3,Mukesh Chhabra,"Shashank Khaitan, Suprotim Sengupta, Scott Neustadter",88.0,2020,India,Hindi,45171.0,1 hour 41 minutes
Viduthalai Part 1,8.3,Vetrimaaran,"Jayamohan, Vetrimaaran",88.0,2023,India,Tamil,5880.0,2 hours 30 minutes
To Live,8.3,Yimou Zhang,"Yu Hua, Wei Lu",88.0,1994,"Hong Kong, China",Mandarin,2332728.0,2 hours 13 minutes
Akahige,8.3,Akira Kurosawa,"Masato Ide, Hideo Oguni, Ryûzô Kikushima",90.0,1970,Japan,Japanese,47741.0,3 hours 5 minutes
Drishyam,8.3,Jeethu Joseph,Jeethu Joseph,88.0,2013,India,Malayalam,13076265.0,2 hours 40 minutes
Children of Paradise,8.3,Marcel Carné,Jacques Prévert,96.0,1946,France,French,44906.0,3 hours 9 minutes
Scener ur ett äktenskap,8.3,Ingmar Bergman,Ingmar Bergman,88.0,1974,Sweden,Swedish,250.0,2 hours 49 minutes
Hoop Dreams,8.3,Steve James,"William Gates, Arthur Agee, Emma Gates",98.0,1994,United States,English,11830611.0,2 hours 50 minutes
Letyat zhuravli,8.3,Mikhail Kalatozov,Viktor Rozov,76.0,1957,Soviet Union,Russian,32549.0,1 hour 35 minutes
The Look of Silence,8.3,Joshua Oppenheimer,"Adi Rukun, M.Y. Basrun, Volker Hanisch",92.0,2014,"Denmark, Indonesia, Finland, Norway, United Kingdom, Israel, France, United States, Germany, Netherlands",Indonesian,157857.0,1 hour 43 minutes
Jana Gana Mana,8.3,Dijo Jose Antony,Sharis Mohammed,88.0,2022,India,Malayalam,3135150.0,2 hours 42 minutes
Premam,8.3,Alphonse Puthren,Alphonse Puthren,88.0,2015,India,Malayalam,7200000.0,2 hours 36 minutes
2018,8.3,Jude Anthany Joseph,"Akhil P. Dharmajan, Jude Anthany Joseph",88.0,2023,India,Malayalam,4547765.0,2 hours 30 minutes
Jôi-uchi: Hairyô tsuma shimatsu,8.3,Masaki Kobayashi,"Shinobu Hashimoto, Yasuhiko Takiguchi",90.0,1967,Japan,Japanese,33122.0,2 hours 8 minutes
Won't You Be My Neighbor?,8.3,Morgan Neville,"Fred Rogers, Margaret Whitmer, Tom Junod",85.0,2018,United States,"English, Hebrew",22844741.0,1 hour 35 minutes
Brilliantovaya ruka,8.3,Leonid Gaidai,"Leonid Gaidai, Yakov Kostyukovskiy, Moris Slobodskoy",88.0,1969,Soviet Union,Russian,2266.0,1 hour 34 minutes
Bangalore Days,8.3,Anjali Menon,Anjali Menon,88.0,2014,India,Malayalam,180217.0,2 hours 51 minutes
Satya,8.3,Ram Gopal Varma,"Anurag Kashyap, Saurabh Shukla, Kona Venkat",88.0,1998,India,Hindi,5915511.0,2 hours 50 minutes
Uçurtmayi Vurmasinlar,8.3,Tunç Basaran,Feride Çiçekoglu,88.0,1989,Turkey,Turkish,10282188.5,1 hour 25 minutes
Nayak,8.3,Satyajit Ray,Satyajit Ray,88.0,1966,India,Bengali,32260.5,1 hour 57 minutes
"Kavkazskaya Plennitsa, Ili Novye Priklyucheniya Shurika",8.3,Leonid Gaidai,"Leonid Gaidai, Yakov Kostyukovskiy, Moris Slobodskoy",88.0,1967,Soviet Union,Russian,33122.0,1 hour 22 minutes
Winter on Fire: Ukraine's Fight for Freedom,8.3,Evgeny Afineevsky,Den Tolmor,79.0,2015,"United Kingdom, Ukraine, United States","Ukrainian, Russian, English",5707166.5,1 hour 42 minutes
Maheshinte Prathikaram,8.3,Dileesh Pothan,Syam Pushkaran,88.0,2016,India,Malayalam,22361.0,2 hours
Mahanagar,8.3,Satyajit Ray,"Narendranath Mitra, Satyajit Ray",88.0,1963,India,"Bengali, English",41161.5,2 hours 11 minutes
Mrtav 'ladan,8.3,Milorad Milinkovic,Milorad Milinkovic,88.0,2002,Federal Republic of Yugoslavia,Serbian,8628005.0,1 hour 30 minutes
Gekijôban Shingeki no Kyojin Season 2: Kakusei no hôkô,8.3,Masashi Koizuka,"Hajime Isayama, Yasuko Kobayashi",88.0,2018,Japan,Japanese,107155.0,2 hours
Anniyan,8.3,S. Shankar,"Gopal Ram, S. Shankar, Sujatha",88.0,2005,India,Tamil,8012838.0,3 hours 3 minutes
Vuk,8.3,Attila Dargay,"István Fekete, Attila Dargay, István Imre",88.0,1981,Hungary,Hungarian,11748153.5,1 hour 19 minutes
Agent Sai Srinivasa Athreya,8.3,Swaroop Rsj,"Swaroop Rsj, Naveen Polishetty, Divya Narayanan",88.0,2019,India,Telugu,4454.0,2 hours 28 minutes
Sairat,8.3,Nagraj Manjule,"Nagraj Manjule, Bharat Manjule",88.0,2016,India,Marathi,6787074.0,2 hours 54 minutes
Dzhentlmeny udachi,8.3,Aleksandr Seryy,"Georgiy Daneliya, Viktoriya Tokareva",88.0,1971,Soviet Union,Russian,10560943.0,1 hour 28 minutes
Baasha,8.3,Suresh Krishna,"Suresh Krishna, Balakumaran, Gopal Ram",88.0,1995,India,Tamil,3000000.0,2 hours 25 minutes
Pithamagan,8.3,Bala,Bala,88.0,2003,India,Tamil,8842229.0,2 hours 19 minutes
Jaane Bhi Do Yaaro,8.3,Kundan Shah,"Ranjit Kapoor, Satish Kaushik, Sudhir Mishra",88.0,1983,India,Hindi,9190819.0,2 hours 12 minutes
Khuda Kay Liye,8.3,Shoaib Mansoor,"Shoaib Mansoor, Faiza Mujahid, Bulleh Shah",88.0,2008,Pakistan,"Urdu, English",2432378.0,2 hours 48 minutes
Angoor,8.3,Gulzar,"Gulzar, William Shakespeare",88.0,1982,India,Hindi,20630135.0,2 hours 11 minutes
Kaakkaa Muttai,8.3,M. Manikandan,"Anand Annamalai, M. Manikandan",88.0,2015,India,Tamil,246551.0,1 hour 49 minutes
Soodhu Kavvum,8.3,Nalan Kumarasamy,"Srinivas Kavinayam, Srinivasa Kavineyam, Nalan Kumarasamy",88.0,2013,India,Tamil,17711333.0,2 hours 15 minutes
Kaun Pravin Tambe?,8.3,Jayprad Desai,"Kedar Patankar, Kapil Sawant, Kiran Yadnyopavit",88.0,2022,India,Hindi,3253561.5,2 hours 14 minutes
Pyaasa,8.3,Guru Dutt,Abrar Alvi,88.0,1957,India,Hindi,32549.0,2 hours 26 minutes
Guide,8.3,Vijay Anand,"Vijay Anand, Pearl S. Buck, R.K. Narayan",88.0,1965,India,Hindi,90869.0,3 hours 3 minutes
Lucia,8.3,Pawan Kumar,Pawan Kumar,88.0,2013,India,Kannada,17711333.0,2 hours 15 minutes
Mi nismo andjeli,8.3,Srdjan Dragojevic,Srdjan Dragojevic,88.0,1992,Federal Republic of Yugoslavia,Serbian,10555619.0,1 hour 38 minutes
Chupke Chupke,8.3,Hrishikesh Mukherjee,"Upendranath Ganguly, D.N. Mukherjee, Gulzar",88.0,1975,India,Hindi,66424.5,2 hours 26 minutes
Köyden Indim Sehire,8.3,Ertem Egilmez,Zeki Alasya,88.0,1974,Turkey,Turkish,31452.0,1 hour 31 minutes
Iron Maiden: Flight 666,8.3,"Sam Dunn, Scot McFadyen","Sam Dunn, Scot McFadyen",88.0,2009,"Canada, United Kingdom",English,233193.0,1 hour 52 minutes
Pranchiyettan and the Saint,8.3,Ranjith,Ranjith,88.0,2010,India,Malayalam,957.0,2 hours 20 minutes
Macskafogó,8.3,Béla Ternovszky,József Nepp,88.0,1986,"Hungary, Canada, West Germany",Hungarian,14937.0,1 hour 36 minutes
Aruvi,8.3,Arun Prabhu Purushothaman,Arun Prabhu Purushothaman,88.0,2017,India,Tamil,15697699.0,2 hours 10 minutes
Alai Payuthey,8.3,Mani Ratnam,"Mani Ratnam, R. Selvaraj",88.0,2000,India,Tamil,4200000.0,2 hours 36 minutes
Pathemari,8.3,Salim Ahmed,Salim Ahmed,88.0,2015,India,Malayalam,5707166.5,1 hour 58 minutes
Thulladha Manamum Thullum,8.3,Ezhil,"Ezhil, N. Prasanna Kumar",88.0,1999,India,Tamil,6031521.0,2 hours 50 minutes
